# SPDX-FileCopyrightText: 2026 Huang Rui <vowstar@gmail.com>
# SPDX-License-Identifier: MIT
# Chimera decode-dispatch golden table (decoder-equivalence reference).
# Generated from isa/h8300_base_cases.yaml mask/match; do not hand-edit.
# isa_word: bits[15:8]=first opcode byte, [7:0]=second byte.
# dispatch = ISA ground truth from the instruction table.
# pre_decoded_instr = coarse-decode formula over the byte-swapped RTL IR.
first_byte,sb_lo,sb_hi,pre_decoded_instr,dispatch
0x0c,0x00,0xff,0x0c,h8_mov8_r8_r8
0x0d,0x00,0x07,0x0d,h8_mov16_r16_r16
0x0d,0x08,0x0f,0x0d,illegal
0x0d,0x10,0x17,0x0d,h8_mov16_r16_r16
0x0d,0x18,0x1f,0x0d,illegal
0x0d,0x20,0x27,0x0d,h8_mov16_r16_r16
0x0d,0x28,0x2f,0x0d,illegal
0x0d,0x30,0x37,0x0d,h8_mov16_r16_r16
0x0d,0x38,0x3f,0x0d,illegal
0x0d,0x40,0x47,0x0d,h8_mov16_r16_r16
0x0d,0x48,0x4f,0x0d,illegal
0x0d,0x50,0x57,0x0d,h8_mov16_r16_r16
0x0d,0x58,0x5f,0x0d,illegal
0x0d,0x60,0x67,0x0d,h8_mov16_r16_r16
0x0d,0x68,0x6f,0x0d,illegal
0x0d,0x70,0x77,0x0d,h8_mov16_r16_r16
0x0d,0x78,0xff,0x0d,illegal
0x0e,0x00,0xff,0x0e,h8_addx8_r8_r8
0x0f,0x00,0x0f,0x0f,h8_daa8_r8
0x0f,0x10,0xff,0x0f,illegal
0x10,0x00,0x0f,0x10,h8_shll8_r8
0x10,0x10,0x7f,0x10,illegal
0x10,0x80,0x8f,0xd0,h8_shal8_r8
0x10,0x90,0xff,0xd0,illegal
0x11,0x00,0x0f,0x11,h8_shlr8_r8
0x11,0x10,0x7f,0x11,illegal
0x11,0x80,0x8f,0xd1,h8_shar8_r8
0x11,0x90,0xff,0xd1,illegal
0x12,0x00,0x0f,0x12,h8_rotxl8_r8
0x12,0x10,0x7f,0x12,illegal
0x12,0x80,0x8f,0xd2,h8_rotl8_r8
0x12,0x90,0xff,0xd2,illegal
0x13,0x00,0x0f,0x13,h8_rotxr8_r8
0x13,0x10,0x7f,0x13,illegal
0x13,0x80,0x8f,0xd3,h8_rotr8_r8
0x13,0x90,0xff,0xd3,illegal
0x14,0x00,0x7f,0x14,h8_or8_r8_r8
0x14,0x80,0xff,0xd4,h8_or8_r8_r8
0x15,0x00,0x7f,0x15,h8_xor8_r8_r8
0x15,0x80,0xff,0xd5,h8_xor8_r8_r8
0x16,0x00,0x7f,0x16,h8_and8_r8_r8
0x16,0x80,0xff,0xd6,h8_and8_r8_r8
0x17,0x00,0x0f,0x17,h8_not8_r8
0x17,0x10,0x7f,0x17,illegal
0x17,0x80,0x8f,0xd7,h8_neg8_r8
0x17,0x90,0xff,0xd7,illegal
0x18,0x00,0x7f,0x18,h8_sub8_r8_r8
0x18,0x80,0xff,0xd8,h8_sub8_r8_r8
0x19,0x00,0x07,0x19,h8_sub16_r16_r16
0x19,0x08,0x0f,0x19,illegal
0x19,0x10,0x17,0x19,h8_sub16_r16_r16
0x19,0x18,0x1f,0x19,illegal
0x19,0x20,0x27,0x19,h8_sub16_r16_r16
0x19,0x28,0x2f,0x19,illegal
0x19,0x30,0x37,0x19,h8_sub16_r16_r16
0x19,0x38,0x3f,0x19,illegal
0x19,0x40,0x47,0x19,h8_sub16_r16_r16
0x19,0x48,0x4f,0x19,illegal
0x19,0x50,0x57,0x19,h8_sub16_r16_r16
0x19,0x58,0x5f,0x19,illegal
0x19,0x60,0x67,0x19,h8_sub16_r16_r16
0x19,0x68,0x6f,0x19,illegal
0x19,0x70,0x77,0x19,h8_sub16_r16_r16
0x19,0x78,0x7f,0x19,illegal
0x19,0x80,0xff,0xd9,illegal
0x1a,0x00,0x0f,0x1a,h8_dec8_r8
0x1a,0x10,0x7f,0x1a,illegal
0x1a,0x80,0xff,0xda,illegal
0x1b,0x00,0x07,0x1b,h8_subs16_one_r16
0x1b,0x08,0x7f,0x1b,illegal
0x1b,0x80,0x87,0xdb,h8_subs16_two_r16
0x1b,0x88,0xff,0xdb,illegal
0x1c,0x00,0x7f,0x1c,h8_cmp8_r8_r8
0x1c,0x80,0xff,0xdc,h8_cmp8_r8_r8
0x1d,0x00,0x07,0x1d,h8_cmp16_r16_r16
0x1d,0x08,0x0f,0x1d,illegal
0x1d,0x10,0x17,0x1d,h8_cmp16_r16_r16
0x1d,0x18,0x1f,0x1d,illegal
0x1d,0x20,0x27,0x1d,h8_cmp16_r16_r16
0x1d,0x28,0x2f,0x1d,illegal
0x1d,0x30,0x37,0x1d,h8_cmp16_r16_r16
0x1d,0x38,0x3f,0x1d,illegal
0x1d,0x40,0x47,0x1d,h8_cmp16_r16_r16
0x1d,0x48,0x4f,0x1d,illegal
0x1d,0x50,0x57,0x1d,h8_cmp16_r16_r16
0x1d,0x58,0x5f,0x1d,illegal
0x1d,0x60,0x67,0x1d,h8_cmp16_r16_r16
0x1d,0x68,0x6f,0x1d,illegal
0x1d,0x70,0x77,0x1d,h8_cmp16_r16_r16
0x1d,0x78,0x7f,0x1d,illegal
0x1d,0x80,0xff,0xdd,illegal
0x1e,0x00,0x7f,0x1e,h8_subx8_r8_r8
0x1e,0x80,0xff,0xde,h8_subx8_r8_r8
0x1f,0x00,0x0f,0x1f,h8_das8_r8
0x1f,0x10,0x7f,0x1f,illegal
0x1f,0x80,0xff,0xdf,illegal
0x20,0x00,0xff,0x20,h8_mov8_abs8_r8
0x21,0x00,0xff,0x21,h8_mov8_abs8_r8
0x22,0x00,0xff,0x22,h8_mov8_abs8_r8
0x23,0x00,0xff,0x23,h8_mov8_abs8_r8
0x24,0x00,0xff,0x24,h8_mov8_abs8_r8
0x25,0x00,0xff,0x25,h8_mov8_abs8_r8
0x26,0x00,0xff,0x26,h8_mov8_abs8_r8
0x27,0x00,0xff,0x27,h8_mov8_abs8_r8
0x28,0x00,0xff,0x28,h8_mov8_abs8_r8
0x29,0x00,0xff,0x29,h8_mov8_abs8_r8
0x2a,0x00,0xff,0x2a,h8_mov8_abs8_r8
0x2b,0x00,0xff,0x2b,h8_mov8_abs8_r8
0x2c,0x00,0xff,0x2c,h8_mov8_abs8_r8
0x2d,0x00,0xff,0x2d,h8_mov8_abs8_r8
0x2e,0x00,0xff,0x2e,h8_mov8_abs8_r8
0x2f,0x00,0xff,0x2f,h8_mov8_abs8_r8
0x30,0x00,0xff,0x30,h8_mov8_r8_abs8
0x31,0x00,0xff,0x31,h8_mov8_r8_abs8
0x32,0x00,0xff,0x32,h8_mov8_r8_abs8
0x33,0x00,0xff,0x33,h8_mov8_r8_abs8
0x34,0x00,0xff,0x34,h8_mov8_r8_abs8
0x35,0x00,0xff,0x35,h8_mov8_r8_abs8
0x36,0x00,0xff,0x36,h8_mov8_r8_abs8
0x37,0x00,0xff,0x37,h8_mov8_r8_abs8
0x38,0x00,0xff,0x38,h8_mov8_r8_abs8
0x39,0x00,0xff,0x39,h8_mov8_r8_abs8
0x3a,0x00,0xff,0x3a,h8_mov8_r8_abs8
0x3b,0x00,0xff,0x3b,h8_mov8_r8_abs8
0x3c,0x00,0xff,0x3c,h8_mov8_r8_abs8
0x3d,0x00,0xff,0x3d,h8_mov8_r8_abs8
0x3e,0x00,0xff,0x3e,h8_mov8_r8_abs8
0x3f,0x00,0xff,0x3f,h8_mov8_r8_abs8
0x40,0x00,0xff,0x40,h8_branch_rel8
0x41,0x00,0xff,0x41,h8_branch_rel8
0x42,0x00,0xff,0x42,h8_branch_rel8
0x43,0x00,0xff,0x43,h8_branch_rel8
0x44,0x00,0xff,0x44,h8_branch_rel8
0x45,0x00,0xff,0x45,h8_branch_rel8
0x46,0x00,0xff,0x46,h8_branch_rel8
0x47,0x00,0xff,0x47,h8_branch_rel8
0x48,0x00,0xff,0x48,h8_branch_rel8
0x49,0x00,0xff,0x49,h8_branch_rel8
0x4a,0x00,0xff,0x4a,h8_branch_rel8
0x4b,0x00,0xff,0x4b,h8_branch_rel8
0x4c,0x00,0xff,0x4c,h8_branch_rel8
0x4d,0x00,0xff,0x4d,h8_branch_rel8
0x4e,0x00,0xff,0x4e,h8_branch_rel8
0x4f,0x00,0xff,0x4f,h8_branch_rel8
0x50,0x00,0x07,0x50,h8_mulxu_r8_r16
0x50,0x08,0x0f,0x50,illegal
0x50,0x10,0x17,0x50,h8_mulxu_r8_r16
0x50,0x18,0x1f,0x50,illegal
0x50,0x20,0x27,0x50,h8_mulxu_r8_r16
0x50,0x28,0x2f,0x50,illegal
0x50,0x30,0x37,0x50,h8_mulxu_r8_r16
0x50,0x38,0x3f,0x50,illegal
0x50,0x40,0x47,0x50,h8_mulxu_r8_r16
0x50,0x48,0x4f,0x50,illegal
0x50,0x50,0x57,0x50,h8_mulxu_r8_r16
0x50,0x58,0x5f,0x50,illegal
0x50,0x60,0x67,0x50,h8_mulxu_r8_r16
0x50,0x68,0x6f,0x50,illegal
0x50,0x70,0x77,0x50,h8_mulxu_r8_r16
0x50,0x78,0x7f,0x50,illegal
0x50,0x80,0x87,0x50,h8_mulxu_r8_r16
0x50,0x88,0x8f,0x50,illegal
0x50,0x90,0x97,0x50,h8_mulxu_r8_r16
0x50,0x98,0x9f,0x50,illegal
0x50,0xa0,0xa7,0x50,h8_mulxu_r8_r16
0x50,0xa8,0xaf,0x50,illegal
0x50,0xb0,0xb7,0x50,h8_mulxu_r8_r16
0x50,0xb8,0xbf,0x50,illegal
0x50,0xc0,0xc7,0x50,h8_mulxu_r8_r16
0x50,0xc8,0xcf,0x50,illegal
0x50,0xd0,0xd7,0x50,h8_mulxu_r8_r16
0x50,0xd8,0xdf,0x50,illegal
0x50,0xe0,0xe7,0x50,h8_mulxu_r8_r16
0x50,0xe8,0xef,0x50,illegal
0x50,0xf0,0xf7,0x50,h8_mulxu_r8_r16
0x50,0xf8,0xff,0x50,illegal
0x51,0x00,0x07,0x51,h8_divxu_r8_r16
0x51,0x08,0x0f,0x51,illegal
0x51,0x10,0x17,0x51,h8_divxu_r8_r16
0x51,0x18,0x1f,0x51,illegal
0x51,0x20,0x27,0x51,h8_divxu_r8_r16
0x51,0x28,0x2f,0x51,illegal
0x51,0x30,0x37,0x51,h8_divxu_r8_r16
0x51,0x38,0x3f,0x51,illegal
0x51,0x40,0x47,0x51,h8_divxu_r8_r16
0x51,0x48,0x4f,0x51,illegal
0x51,0x50,0x57,0x51,h8_divxu_r8_r16
0x51,0x58,0x5f,0x51,illegal
0x51,0x60,0x67,0x51,h8_divxu_r8_r16
0x51,0x68,0x6f,0x51,illegal
0x51,0x70,0x77,0x51,h8_divxu_r8_r16
0x51,0x78,0x7f,0x51,illegal
0x51,0x80,0x87,0x51,h8_divxu_r8_r16
0x51,0x88,0x8f,0x51,illegal
0x51,0x90,0x97,0x51,h8_divxu_r8_r16
0x51,0x98,0x9f,0x51,illegal
0x51,0xa0,0xa7,0x51,h8_divxu_r8_r16
0x51,0xa8,0xaf,0x51,illegal
0x51,0xb0,0xb7,0x51,h8_divxu_r8_r16
0x51,0xb8,0xbf,0x51,illegal
0x51,0xc0,0xc7,0x51,h8_divxu_r8_r16
0x51,0xc8,0xcf,0x51,illegal
0x51,0xd0,0xd7,0x51,h8_divxu_r8_r16
0x51,0xd8,0xdf,0x51,illegal
0x51,0xe0,0xe7,0x51,h8_divxu_r8_r16
0x51,0xe8,0xef,0x51,illegal
0x51,0xf0,0xf7,0x51,h8_divxu_r8_r16
0x51,0xf8,0xff,0x51,illegal
0x52,0x00,0xff,0x52,illegal
0x53,0x00,0xff,0x53,illegal
0x54,0x00,0x6f,0x54,illegal
0x54,0x70,0x70,0x54,h8_rts
0x54,0x71,0xff,0x54,illegal
0x55,0x00,0xff,0x55,h8_bsr_rel8
0x56,0x00,0x6f,0x56,illegal
0x56,0x70,0x70,0x56,h8_rte
0x56,0x71,0xff,0x56,illegal
0x57,0x00,0x00,0x57,h8_trapa
0x57,0x01,0x0f,0x57,illegal
0x57,0x10,0x10,0x57,h8_trapa
0x57,0x11,0x1f,0x57,illegal
0x57,0x20,0x20,0x57,h8_trapa
0x57,0x21,0x2f,0x57,illegal
0x57,0x30,0x30,0x57,h8_trapa
0x57,0x31,0xff,0x57,illegal
0x58,0x00,0xff,0x58,illegal
0x59,0x00,0x00,0x59,h8_jmp_r16i
0x59,0x01,0x0f,0x59,illegal
0x59,0x10,0x10,0x59,h8_jmp_r16i
0x59,0x11,0x1f,0x59,illegal
0x59,0x20,0x20,0x59,h8_jmp_r16i
0x59,0x21,0x2f,0x59,illegal
0x59,0x30,0x30,0x59,h8_jmp_r16i
0x59,0x31,0x3f,0x59,illegal
0x59,0x40,0x40,0x59,h8_jmp_r16i
0x59,0x41,0x4f,0x59,illegal
0x59,0x50,0x50,0x59,h8_jmp_r16i
0x59,0x51,0x5f,0x59,illegal
0x59,0x60,0x60,0x59,h8_jmp_r16i
0x59,0x61,0x6f,0x59,illegal
0x59,0x70,0x70,0x59,h8_jmp_r16i
0x59,0x71,0xff,0x59,illegal
0x5a,0x00,0x00,0x5a,h8_jmp_abs16
0x5a,0x01,0xff,0x5a,illegal
0x5b,0x00,0xff,0x5b,h8_jmp_abs8i
0x5c,0x00,0xff,0x5c,illegal
0x5d,0x00,0x00,0x5d,h8_jsr_r16i
0x5d,0x01,0x0f,0x5d,illegal
0x5d,0x10,0x10,0x5d,h8_jsr_r16i
0x5d,0x11,0x1f,0x5d,illegal
0x5d,0x20,0x20,0x5d,h8_jsr_r16i
0x5d,0x21,0x2f,0x5d,illegal
0x5d,0x30,0x30,0x5d,h8_jsr_r16i
0x5d,0x31,0x3f,0x5d,illegal
0x5d,0x40,0x40,0x5d,h8_jsr_r16i
0x5d,0x41,0x4f,0x5d,illegal
0x5d,0x50,0x50,0x5d,h8_jsr_r16i
0x5d,0x51,0x5f,0x5d,illegal
0x5d,0x60,0x60,0x5d,h8_jsr_r16i
0x5d,0x61,0x6f,0x5d,illegal
0x5d,0x70,0x70,0x5d,h8_jsr_r16i
0x5d,0x71,0xff,0x5d,illegal
0x5e,0x00,0x00,0x5e,h8_jsr_abs16
0x5e,0x01,0xff,0x5e,illegal
0x5f,0x00,0xff,0x5f,h8_jsr_abs8i
0x60,0x00,0x7f,0x60,h8_bset_r8_r8
0x60,0x80,0xff,0xe0,h8_bset_r8_r8
0x61,0x00,0x7f,0x61,h8_bnot_r8_r8
0x61,0x80,0xff,0xe1,h8_bnot_r8_r8
0x62,0x00,0x7f,0x62,h8_bclr_r8_r8
0x62,0x80,0xff,0xe2,h8_bclr_r8_r8
0x63,0x00,0x7f,0x63,h8_btst_r8_r8
0x63,0x80,0xff,0xe3,h8_btst_r8_r8
0x64,0x00,0x7f,0x64,illegal
0x64,0x80,0xff,0xe4,illegal
0x65,0x00,0x7f,0x65,illegal
0x65,0x80,0xff,0xe5,illegal
0x66,0x00,0x7f,0x66,illegal
0x66,0x80,0xff,0xe6,illegal
0x67,0x00,0x7f,0x67,h8_bst_imm3_r8
0x67,0x80,0xff,0xe7,h8_bist_imm3_r8
0x68,0x00,0x7f,0x68,h8_mov8_r16i_r8
0x68,0x80,0xff,0xe8,h8_mov8_r8_r16i
0x69,0x00,0x07,0x69,h8_mov16_r16i_r16
0x69,0x08,0x0f,0x69,illegal
0x69,0x10,0x17,0x69,h8_mov16_r16i_r16
0x69,0x18,0x1f,0x69,illegal
0x69,0x20,0x27,0x69,h8_mov16_r16i_r16
0x69,0x28,0x2f,0x69,illegal
0x69,0x30,0x37,0x69,h8_mov16_r16i_r16
0x69,0x38,0x3f,0x69,illegal
0x69,0x40,0x47,0x69,h8_mov16_r16i_r16
0x69,0x48,0x4f,0x69,illegal
0x69,0x50,0x57,0x69,h8_mov16_r16i_r16
0x69,0x58,0x5f,0x69,illegal
0x69,0x60,0x67,0x69,h8_mov16_r16i_r16
0x69,0x68,0x6f,0x69,illegal
0x69,0x70,0x77,0x69,h8_mov16_r16i_r16
0x69,0x78,0x7f,0x69,illegal
0x69,0x80,0x87,0xe9,h8_mov16_r16_r16i
0x69,0x88,0x8f,0xe9,illegal
0x69,0x90,0x97,0xe9,h8_mov16_r16_r16i
0x69,0x98,0x9f,0xe9,illegal
0x69,0xa0,0xa7,0xe9,h8_mov16_r16_r16i
0x69,0xa8,0xaf,0xe9,illegal
0x69,0xb0,0xb7,0xe9,h8_mov16_r16_r16i
0x69,0xb8,0xbf,0xe9,illegal
0x69,0xc0,0xc7,0xe9,h8_mov16_r16_r16i
0x69,0xc8,0xcf,0xe9,illegal
0x69,0xd0,0xd7,0xe9,h8_mov16_r16_r16i
0x69,0xd8,0xdf,0xe9,illegal
0x69,0xe0,0xe7,0xe9,h8_mov16_r16_r16i
0x69,0xe8,0xef,0xe9,illegal
0x69,0xf0,0xf7,0xe9,h8_mov16_r16_r16i
0x69,0xf8,0xff,0xe9,illegal
0x6a,0x00,0x0f,0x6a,h8_mov8_abs16_r8
0x6a,0x10,0x7f,0x6a,illegal
0x6a,0x80,0x8f,0xea,h8_mov8_r8_abs16
0x6a,0x90,0xff,0xea,illegal
0x6b,0x00,0x07,0x6b,h8_mov16_abs16_r16
0x6b,0x08,0x7f,0x6b,illegal
0x6b,0x80,0x87,0xeb,h8_mov16_r16_abs16
0x6b,0x88,0xff,0xeb,illegal
0x6c,0x00,0x7f,0x6c,h8_mov8_r16p_r8
0x6c,0x80,0xff,0xec,h8_mov8_r8_pr16
0x6d,0x00,0x07,0x6d,h8_mov16_r16p_r16
0x6d,0x08,0x0f,0x6d,illegal
0x6d,0x10,0x17,0x6d,h8_mov16_r16p_r16
0x6d,0x18,0x1f,0x6d,illegal
0x6d,0x20,0x27,0x6d,h8_mov16_r16p_r16
0x6d,0x28,0x2f,0x6d,illegal
0x6d,0x30,0x37,0x6d,h8_mov16_r16p_r16
0x6d,0x38,0x3f,0x6d,illegal
0x6d,0x40,0x47,0x6d,h8_mov16_r16p_r16
0x6d,0x48,0x4f,0x6d,illegal
0x6d,0x50,0x57,0x6d,h8_mov16_r16p_r16
0x6d,0x58,0x5f,0x6d,illegal
0x6d,0x60,0x67,0x6d,h8_mov16_r16p_r16
0x6d,0x68,0x6f,0x6d,illegal
0x6d,0x70,0x77,0x6d,h8_mov16_r16p_r16
0x6d,0x78,0x7f,0x6d,illegal
0x6d,0x80,0x87,0xed,h8_mov16_r16_pr16
0x6d,0x88,0x8f,0xed,illegal
0x6d,0x90,0x97,0xed,h8_mov16_r16_pr16
0x6d,0x98,0x9f,0xed,illegal
0x6d,0xa0,0xa7,0xed,h8_mov16_r16_pr16
0x6d,0xa8,0xaf,0xed,illegal
0x6d,0xb0,0xb7,0xed,h8_mov16_r16_pr16
0x6d,0xb8,0xbf,0xed,illegal
0x6d,0xc0,0xc7,0xed,h8_mov16_r16_pr16
0x6d,0xc8,0xcf,0xed,illegal
0x6d,0xd0,0xd7,0xed,h8_mov16_r16_pr16
0x6d,0xd8,0xdf,0xed,illegal
0x6d,0xe0,0xe7,0xed,h8_mov16_r16_pr16
0x6d,0xe8,0xef,0xed,illegal
0x6d,0xf0,0xf7,0xed,h8_mov16_r16_pr16
0x6d,0xf8,0xff,0xed,illegal
0x6e,0x00,0x7f,0x6e,h8_mov8_r16d16_r8
0x6e,0x80,0xff,0xee,h8_mov8_r8_r16d16
0x6f,0x00,0x07,0x6f,h8_mov16_r16d16_r16
0x6f,0x08,0x0f,0x6f,illegal
0x6f,0x10,0x17,0x6f,h8_mov16_r16d16_r16
0x6f,0x18,0x1f,0x6f,illegal
0x6f,0x20,0x27,0x6f,h8_mov16_r16d16_r16
0x6f,0x28,0x2f,0x6f,illegal
0x6f,0x30,0x37,0x6f,h8_mov16_r16d16_r16
0x6f,0x38,0x3f,0x6f,illegal
0x6f,0x40,0x47,0x6f,h8_mov16_r16d16_r16
0x6f,0x48,0x4f,0x6f,illegal
0x6f,0x50,0x57,0x6f,h8_mov16_r16d16_r16
0x6f,0x58,0x5f,0x6f,illegal
0x6f,0x60,0x67,0x6f,h8_mov16_r16d16_r16
0x6f,0x68,0x6f,0x6f,illegal
0x6f,0x70,0x77,0x6f,h8_mov16_r16d16_r16
0x6f,0x78,0x7f,0x6f,illegal
0x6f,0x80,0x87,0xef,h8_mov16_r16_r16d16
0x6f,0x88,0x8f,0xef,illegal
0x6f,0x90,0x97,0xef,h8_mov16_r16_r16d16
0x6f,0x98,0x9f,0xef,illegal
0x6f,0xa0,0xa7,0xef,h8_mov16_r16_r16d16
0x6f,0xa8,0xaf,0xef,illegal
0x6f,0xb0,0xb7,0xef,h8_mov16_r16_r16d16
0x6f,0xb8,0xbf,0xef,illegal
0x6f,0xc0,0xc7,0xef,h8_mov16_r16_r16d16
0x6f,0xc8,0xcf,0xef,illegal
0x6f,0xd0,0xd7,0xef,h8_mov16_r16_r16d16
0x6f,0xd8,0xdf,0xef,illegal
0x6f,0xe0,0xe7,0xef,h8_mov16_r16_r16d16
0x6f,0xe8,0xef,0xef,illegal
0x6f,0xf0,0xf7,0xef,h8_mov16_r16_r16d16
0x6f,0xf8,0xff,0xef,illegal
0x70,0x00,0x7f,0x70,h8_bset_imm3_r8
0x70,0x80,0xff,0xf0,illegal
0x71,0x00,0x7f,0x71,h8_bnot_imm3_r8
0x71,0x80,0xff,0xf1,illegal
0x72,0x00,0x7f,0x72,h8_bclr_imm3_r8
0x72,0x80,0xff,0xf2,illegal
0x73,0x00,0x7f,0x73,h8_btst_imm3_r8
0x73,0x80,0xff,0xf3,illegal
0x74,0x00,0x7f,0x74,h8_bor_imm3_r8
0x74,0x80,0xff,0xf4,h8_bior_imm3_r8
0x75,0x00,0x7f,0x75,h8_bxor_imm3_r8
0x75,0x80,0xff,0xf5,h8_bixor_imm3_r8
0x76,0x00,0x7f,0x76,h8_band_imm3_r8
0x76,0x80,0xff,0xf6,h8_biand_imm3_r8
0x77,0x00,0x7f,0x77,h8_bld_imm3_r8
0x77,0x80,0xff,0xf7,h8_bild_imm3_r8
0x78,0x00,0x7f,0x78,illegal
0x78,0x80,0xff,0xf8,illegal
0x79,0x00,0x07,0x79,h8_mov16_imm_r16
0x79,0x08,0x7f,0x79,illegal
0x79,0x80,0xff,0xf9,illegal
0x7a,0x00,0x7f,0x7a,illegal
0x7a,0x80,0xff,0xfa,illegal
0x7b,0x00,0x7f,0x7b,illegal
0x7b,0x80,0xff,0xfb,illegal
0x7c,0x00,0x00,0x7c,h8_bit_r16i_read
0x7c,0x01,0x0f,0x7c,illegal
0x7c,0x10,0x10,0x7c,h8_bit_r16i_read
0x7c,0x11,0x1f,0x7c,illegal
0x7c,0x20,0x20,0x7c,h8_bit_r16i_read
0x7c,0x21,0x2f,0x7c,illegal
0x7c,0x30,0x30,0x7c,h8_bit_r16i_read
0x7c,0x31,0x3f,0x7c,illegal
0x7c,0x40,0x40,0x7c,h8_bit_r16i_read
0x7c,0x41,0x4f,0x7c,illegal
0x7c,0x50,0x50,0x7c,h8_bit_r16i_read
0x7c,0x51,0x5f,0x7c,illegal
0x7c,0x60,0x60,0x7c,h8_bit_r16i_read
0x7c,0x61,0x6f,0x7c,illegal
0x7c,0x70,0x70,0x7c,h8_bit_r16i_read
0x7c,0x71,0x7f,0x7c,illegal
0x7c,0x80,0xff,0xfc,illegal
0x7d,0x00,0x00,0x7d,h8_bit_r16i_write
0x7d,0x01,0x0f,0x7d,illegal
0x7d,0x10,0x10,0x7d,h8_bit_r16i_write
0x7d,0x11,0x1f,0x7d,illegal
0x7d,0x20,0x20,0x7d,h8_bit_r16i_write
0x7d,0x21,0x2f,0x7d,illegal
0x7d,0x30,0x30,0x7d,h8_bit_r16i_write
0x7d,0x31,0x3f,0x7d,illegal
0x7d,0x40,0x40,0x7d,h8_bit_r16i_write
0x7d,0x41,0x4f,0x7d,illegal
0x7d,0x50,0x50,0x7d,h8_bit_r16i_write
0x7d,0x51,0x5f,0x7d,illegal
0x7d,0x60,0x60,0x7d,h8_bit_r16i_write
0x7d,0x61,0x6f,0x7d,illegal
0x7d,0x70,0x70,0x7d,h8_bit_r16i_write
0x7d,0x71,0x7f,0x7d,illegal
0x7d,0x80,0xff,0xfd,illegal
0x7e,0x00,0x7f,0x7e,h8_bit_abs8_read
0x7e,0x80,0xff,0xfe,h8_bit_abs8_read
0x7f,0x00,0x7f,0x7f,h8_bit_abs8_write
0x7f,0x80,0xff,0xff,h8_bit_abs8_write
0x80,0x00,0xff,0x80,h8_add8_imm_r8
0x81,0x00,0xff,0x80,h8_add8_imm_r8
0x82,0x00,0xff,0x80,h8_add8_imm_r8
0x83,0x00,0xff,0x80,h8_add8_imm_r8
0x84,0x00,0xff,0x80,h8_add8_imm_r8
0x85,0x00,0xff,0x80,h8_add8_imm_r8
0x86,0x00,0xff,0x80,h8_add8_imm_r8
0x87,0x00,0xff,0x80,h8_add8_imm_r8
0x88,0x00,0xff,0x80,h8_add8_imm_r8
0x89,0x00,0xff,0x80,h8_add8_imm_r8
0x8a,0x00,0xff,0x80,h8_add8_imm_r8
0x8b,0x00,0xff,0x80,h8_add8_imm_r8
0x8c,0x00,0xff,0x80,h8_add8_imm_r8
0x8d,0x00,0xff,0x80,h8_add8_imm_r8
0x8e,0x00,0xff,0x80,h8_add8_imm_r8
0x8f,0x00,0xff,0x80,h8_add8_imm_r8
0x90,0x00,0xff,0x81,h8_addx8_imm_r8
0x91,0x00,0xff,0x81,h8_addx8_imm_r8
0x92,0x00,0xff,0x81,h8_addx8_imm_r8
